"52.29.177.64","1593366219.728","POST /update-blog-stats HTTP/1.1","200","0","https://lbrito1.github.io/blog/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/61.0.3163.100 Chrome/61.0.3163.100 Safari/537.36 PingdomPageSpeed/1.0 (pingbot/2.0; +http://www.pingdom.com/)","0.091"
"52.29.177.64","1593366219.728","POST /update-blog-stats HTTP/1.1","200","0","https://lbrito1.github.io/blog/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/61.0.3163.100 Chrome/61.0.3163.100 Safari/537.36 PingdomPageSpeed/1.0 (pingbot/2.0; +http://www.pingdom.com/)","0.091"
"53.29.177.64","1593366219.728","POST /update-blog-stats HTTP/1.1","200","0","https://lbrito1.github.io/blog/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/61.0.3163.100 Chrome/61.0.3163.100 Safari/537.36 PingdomPageSpeed/1.0 (pingbot/2.0; +http://www.pingdom.com/)","0.091"
"127.0.0.1","1593368598.167","GET /assets/blazer/moment-timezone-with-data.self-e07adaff28c0d26b83620f8ada97a16a5c386f4a06c68bba6d004ea3d1792da3.js?body=1 HTTP/1.1","200","939508","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.014"
"127.0.0.1","1593368598.168","GET /assets/blazer/Chart.self-452d6b6467c857273527c60e2f3389d823cc922268b5743cbb165d8703d63aff.js?body=1 HTTP/1.1","200","402503","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.011"
"127.0.0.1","1593368598.169","GET /assets/blazer/daterangepicker.self-479d1cfd1504b872b6a46aa0478d6db8fbfdbe8ae0fcd381fdf776b241ca1b24.js?body=1 HTTP/1.1","200","71115","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.013"
"127.0.0.1","1593368598.170","GET /assets/blazer/chartkick.self-56f8aaa39070445cc64490c1a2ed131d02556648c455bbeb1fd33c621e84f016.js?body=1 HTTP/1.1","200","61226","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.012"
"127.0.0.1","1593368598.176","GET /assets/blazer/ace/ext-language_tools.self-3338311401b0269501dd0e0be990eca15cf88f23990337a7851b5153a05e8e2e.js?body=1 HTTP/1.1","200","69928","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.012"
"127.0.0.1","1593368598.176","GET /assets/blazer/ace/ace.self-e3e382eb47a5b97a18a8b7b37d331d8cc81670c2daf8cc36d90d5d5fe9b951e0.js?body=1 HTTP/1.1","200","713118","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.017"
"127.0.0.1","1593368598.180","GET /assets/blazer/ace/theme-twilight.self-34a5ef7fddc7b73d3d49f9076cec0a60edb73806be8a8da66734f15e906ae1eb.js?body=1 HTTP/1.1","200","3098","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.012"
"127.0.0.1","1593368598.181","GET /assets/blazer/ace/mode-sql.self-9a9ce0d9b1467a38dc273a05ec0b8959639cb0d8637dbcf331d92c8c185bec54.js?body=1 HTTP/1.1","200","3425","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.012"
"127.0.0.1","1593368598.182","GET /assets/blazer/ace/snippets/text.self-0a720f1207002ac433ff7767c84b374ee70d78702f4da0a3e5e15e561080ceaf.js?body=1 HTTP/1.1","200","503","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.013"
"127.0.0.1","1593368598.184","GET /assets/blazer/ace/snippets/sql.self-f08920578af332da35c020952fb9f9dac436369636399aa9d47cf65cc6af0f24.js?body=1 HTTP/1.1","200","1366","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.014"
"127.0.0.1","1593368598.190","GET /assets/blazer/Sortable.self-021f97a61e4a698dda5bd571713e4e4f291cb7289a8c62d90b60b545399a9a1f.js?body=1 HTTP/1.1","200","37058","http://localhost:8080/blazer","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0","0.014"
